查驗登記證號,中文品名,英文品名,有效日期,發證日期,申請商名稱,申請商電話,申請商地址,成分
"1015004384","液佳鈣軟膠囊","","1160327","1010327","三友生技醫藥股份有限公司","06-6353338","台南市後壁區福安里下寮路207之3號","檸檬酸鈣;;維生素A(維生素A棕櫚酸酯、花生油、維生素E);;維生素D3(中鏈三酸甘油酯、維生素D3、維生素E);;維生素E;;大豆油;;卵磷脂;;脂肪酸甘油酯;;蜂蠟;;明膠;;甘油;;蒸餾水;;二氧化鈦;;食用紅色四十號;;食用藍色一號"
"1015005043","活泉-活力Ｂ群錠","","1160403","1010403","永信藥品工業股份有限公司","0426875100","台中市大甲區中山路一段1191號","魚水解膠原蛋白粉;;西洋蔘萃取物;;核黃素（維生素B2）;;維生素C(抗壞血酸、玉米澱粉);;鹽酸吡哆辛(維生素B6);;硝酸硫胺明（維生素B1）;;菸鹼醯胺;;牛磺酸;;生物素;;本多酸鈣;;維生素B12;;葉酸;;羥丙基甲基纖維素;;羥丙基纖維素;;二氧化矽;;硬脂酸鎂;;二氧化鈦;;聚乙二醇(聚乙二醇、二丁基羥基甲苯);;食用黃色四號鋁麗基;;食用黃色五號鋁麗基"
"1015005503","渡邊GX糖衣錠","Watanabe-GX S.C. Tablets","1160402","1010402","人生製藥股份有限公司","04-23592345","台中市西屯區協和里工業區五路3號","維生素B1;;維生素B6;;維生素B12;;醋酸DL-ALPHA-生育醇酯 50% 粉末;;葡萄糖胺鹽酸鹽;;鯊魚軟骨;;聚乙烯口比咯烷酮;;硬脂酸鎂;;明膠;;蔗糖;;棕櫚蠟;;碳酸鈣;;滑石粉;;食用紅色六號;;食用黃色五號;;蟲膠;;二氧化鈦"
"1015006531","乳樂明 錠","Nutrimin Tablets","1160419","1010419","應傑實業股份有限公司","06-2925777","台南市南區彰南里新樂路1之6號","菸鹼醯胺;;乳酸菌粉（Lactobacillus bifidus）;;鹽酸L-二胺基己酸;;乳糖;;澱粉;;糊化澱粉;;羧甲基澱粉鈉（甘醇酸澱粉鈉）;;微結晶狀ALPHA-纖維素;;硬脂酸鎂;;牛奶香料粉"
"1015007146","新一道彩虹膜衣錠","NEW RAINBOW TABLET","1160718","1010718","聯盛煇實業有限公司","02-28712829","台北市士林區東山路116號1樓","金盞花萃取物(含Xangold葉黃素10%);;維生素A醋酸鹽(明膠、玉米澱粉、維生素A、蔗糖、二丁基羥基甲苯);;L-抗壞血酸（維生素C）;;維生素E醋酸鹽(維生素E、麥芽糊精、辛烯基丁二酸鈉澱粉、二氧化矽);;氧化鋅;;硒酵母;;硫酸錳;;硫酸銅;;碳酸鈣;;微結晶狀ALPHA-纖維素;;二氧化矽;;硬脂酸鎂;;羥丙基甲基纖維素;;二氧化鈦;;食用黃色5號;;食用藍色1號;;食用紅色6號"
"1015007252","新百雅命 錠","Neo-Biamin Tablets","1160409","1010409","衛達化學製藥股份有限公司","04-23593847","臺中市南屯區寶山里工業區23路21號","硝酸硫胺明（維生素B1，硝酸口塞胺）;;核黃素（維生素B2）;;鹽酸口比哆辛（維生素B6）;;氰鈷胺明（維生素B12）;;乳糖;;微結晶狀ALPHA-纖維素;;澱粉;;甘醇酸澱粉鈉;;二氧化矽;;硬脂酸鎂;;羥丙基甲基纖維素;;二氧化鈦;;食用黃色四號"
"1015008655","“人生”維生素B1錠10毫克","Vitamin B1 Tablets 10mg “Jen Sheng”","1160424","1010424","人生製藥股份有限公司","04-23592345","台中市西屯區協和里工業區五路3號","維生素B1;;乳糖;;馬鈴薯澱粉;;聚乙烯吡咯烷酮;;硬脂酸鎂"
"1015008656","人生維他命Ｂ複合糖衣錠","Vitamin B Complex S.C. Tablets “J.S.”","1160424","1010424","人生製藥股份有限公司","04-23592345","台中市西屯區協和里工業區五路3號","維生素B1;;維生素B2;;維生素B6;;維生素B12(麥芽糊精、檸檬酸鈉、檸檬酸、維生素B12);;本多酸鈣;;菸鹼醯胺;;馬鈴薯澱粉;;乳糖;;二氧化矽;;硬脂酸鎂;;聚乙烯吡咯烷酮;;明膠;;蔗糖;;棕櫚臘;;碳酸鈣;;滑石粉;;食用黃色五號;;蟲膠;;二氧化鈦"
"1015008659","人生維生素乙2錠","Vitamin B2 Tablets Jen Sheng","1160424","1010424","人生製藥股份有限公司","04-23592345","台中市西屯區協和里工業區五路3號","維生素B2;;馬鈴薯澱粉;;乳糖;;聚乙烯吡咯烷酮;;硬脂酸鎂"
"1015008661","”人生”維生素B6錠","Pyridoxine HCl Tablets ”Jen Sheng”","1160424","1010424","人生製藥股份有限公司","04-23592345","台中市西屯區協和里工業區五路3號","維生素B6;;馬鈴薯澱粉;;乳糖;;聚乙烯吡咯烷酮;;硬脂酸鎂"
"1015008662","”人生”恩你命糖衣錠","Enlimin S.C. Tablets ”Jen Sheng”","1160424","1010424","人生製藥股份有限公司","04-23592345","台中市西屯區協和里工業區五路3號","二硫化硫胺;;維生素B2;;維生素B6;;維生素B12 0.1% (維生素B12、檸檬酸、麥芽糊精、檸檬酸鈉);;馬鈴薯澱粉;;乳糖;;聚乙烯口比咯烷酮;;硬脂酸鎂;;蟲膠;;明膠;;蔗糖;;棕櫚蠟;;碳酸鈣;;滑石粉;;食用黃色四號;;二氧化鈦"
"1015008663","人生複方維他命B錠","Vitamin B Complex Tablets Jen sheng","1160424","1010424","人生製藥股份有限公司","04-23592345","台中市西屯區協和里工業區五路3號","維生素B1;;維生素B2;;菸鹼醯胺;;維生素B6;;維生素B12(麥芽糊精、檸檬酸鈉、檸檬酸、維生素B12);;本多酸鈣;;乳糖;;馬鈴薯澱粉;;二氧化矽;;硬脂酸鎂;;聚乙烯吡咯烷酮;;羧甲基澱粉鈉;;明膠;;蔗糖;;棕櫚蠟;;碳酸鈣;;滑石粉;;食用黃色五號;;食用紅色六號;;二氧化鈦"
"1015008665","“人生”維生素C咀嚼錠50毫克","Ascorbic Acid Chewable Tablets 50mg “Jen Sheng”","1160424","1010424","人生製藥股份有限公司","04-23592345","台中市西屯區協和里工業區五路3號","維生素C;;乳糖;;蔗糖;;聚乙烯口比咯烷酮;;硬脂酸鎂;;蔗糖素;;甘露醇;;食用黃色四號鋁麗基;;橘子香料粉（乳糖、二氧化矽、香料）;;鳳梨香料粉（天然香料、香料、麥芽糊精、阿拉伯膠、葡萄糖、丙二醇）"
"1015009085","普威維生素B-50錠食品","Mega-Vitamin B50","1160427","1010427","華世企業有限公司","02-82275698","新北市中和區中山路二段415號9樓","硝酸硫胺明（維生素B1）;;核黃素（維生素B2）;;鹽酸吡哆辛(維生素B6);;氰鈷胺明（維生素B12）;;本多酸鈣;;葉酸;;生物素;;菸鹼醯胺;;乳糖;;麥芽糊精;;硬脂酸鎂;;二氧化矽"
"1015009560","金晶靈　膜衣錠","GINGOLD TABLET","1161002","1011002","聯盛煇實業有限公司","02-28712829","台北市士林區東山路116號1樓","金盞花萃取物(含Xangold葉黃素);;維生素A醋酸鹽(明膠、玉米澱粉、維生素A、蔗糖、二丁基羥基甲苯);;L-抗壞血酸;;維生素E醋酸鹽(維生素E、麥芽糊精、辛烯基丁二酸鈉澱粉、二氧化矽);;氧化鋅;;硒酵母;;硫酸錳;;硫酸銅;;碳酸鈣;;微結晶狀ALPHA-纖維素;;二氧化矽;;硬脂酸鎂;;羥丙基甲基纖維素;;二氧化鈦;;食用黃色5號;;食用藍色1號;;食用紅色6號"
"1015011755","溫士頓C口含錠－ 500","Winston C Troches － 500","1160508","1010508","溫士頓醫藥股份有限公司","06-2533124","台南市永康區鹽洲里仁愛街117號","抗壞血酸;;抗壞血酸鈉;;蔗糖;;蔗糖素;;糖精鈉鹽;;食用黃色四號;;D-山梨醇液 70%;;橘子香料粉;;硬脂酸鎂"
"1015012537","”井田”活性維生素乙6膠囊（磷酸吡哆醛）","ACTIVE-B6 Capsules “Chinteng”（Pyridoxal Phosphate）","1160720","1010720","井田生化科技股份有限公司","04-26814585","台中市大甲區日南里工九路9號","磷酸吡哆醛;;微結晶狀α-纖維素;;乳糖;;硬脂酸鎂;;明膠;;純水;;食用紅色六號;;食用黃色五號;;二氧化鈦"
"1015012902","喜顏錠 500毫克(抗壞血酸)","C-Yours Tablets 500mg (Ascorbic Acid)","1160603","1010525","仲發實業有限公司","02-82217889","新北市中和區中正路782號6樓","抗壞血酸;;抗壞血酸鈉;;蔗糖;;蔗糖素;;糖精鈉鹽;;食用黃色四號;;D-山梨醇液 70%;;橘子香料粉(天然香料、香料、丙二醇、二丁基羥基甲苯、葡萄糖、糊精、阿拉伯膠);;硬脂酸鎂"
"1015015190","溫士頓C口含錠 －200","Winston C Troches －200","1160604","1010604","溫士頓醫藥股份有限公司","06-2533124","台南市永康區鹽洲里仁愛街117號","抗壞血酸;;抗壞血酸鈉;;蔗糖;;蔗糖素;;糖精鈉鹽;;食用黃色四號;;D-山梨醇液 70%;;橘子香料粉;;本多酸鈣;;硬脂酸鎂"
"1015020825","維他命 C plus錠","Vitamin C Plus Tablet","1160710","1010710","美天健股份有限公司","07-811-2579","高雄市燕巢區安林二街12之1號1樓","維生素C;;麥芽糊精;;二氧化矽;;硬脂酸鎂;;硬脂酸"
"1015027311","益乃明 膜衣錠","Vitamin B1 & B2 Complex F.C.Tablets","1160813","1010813","應傑實業股份有限公司","06-2925777","台南市南區彰南里新樂路1之6號","維生素B1;;維生素B2;;羧甲基澱粉鈉（甘醇酸澱粉鈉）;;乳糖;;馬鈴薯澱粉;;預膠化澱粉;;硬脂酸鎂;;羥丙基甲基纖維素;;聚乙二醇;;二氧化鈦;;食用黃色4號;;食用黃色5號"
"1015028036","婕凡希-甲殼鮮切膠囊　","J’Fancy-PRO-SS Capsules","1160921","1010921","永信藥品工業股份有限公司","0426875100","台中市大甲區中山路一段1191號","幾丁聚糖;;乳酸菌（Bacillus coagulans）;;丁烯二酸亞鐵;;核黃素（維生素B2）;;維生素C 97%(抗壞血酸、玉米澱粉);;仙人掌抽出物;;白腎豆萃取物;;藤黃果萃取物;;武靴藤萃取物;;鉻酵母;;玉米澱粉;;二氧化矽;;硬脂酸鎂;;明膠;;純水;;食用黃色4號;;食用藍色1號;;二氧化鈦"
"1015028037","婕凡希-葉酸膠原膠囊　","J’Fancy folic acid-collagen Capsules","1160814","1010814","永信藥品工業股份有限公司","0426875100","台中市大甲區中山路一段1191號","膠原蛋白粉末;;深海魚油;;維生素C 97%;;大豆抽出物（含磷脂醯絲胺酸）;;焦磷酸鐵;;硝酸硫胺明（維生素B1）;;鹽酸口比哆辛（維生素B6）;;核黃素（維生素B2）;;葉酸;;維生素B12;;麥芽糖粉末;;玉米澱粉;;二氧化矽;;硬脂酸鎂;;明膠;;純水;;食用紅色6號;;食用黃色4號;;二氧化鈦"
"1015030248","諾寶C+E口含錠","","1160730","1010730","諾貝兒寶貝股份有限公司","07-7356888","高雄市三民區大昌二路87號","L-抗壞血酸（維生素C）;;乾燥維生素E(乙酸dl-α-生育醇酯、麥芽糊精、辛烯基丁二酸鈉澱粉、二氧化矽);;D-山梨醇;;無水檸檬酸;;蔗糖素;;乳糖;;甜橙果汁粉【砂糖、柳橙果汁粉[柳橙濃縮汁、麥芽糊精、辛烯基丁二酸鈉澱粉]、辛烯基丁二酸鈉澱粉、檸檬酸、玉米澱粉、檸檬酸鈉、桔子香料[橘子香料(香料、三乙酸甘油酯)、橘子香料(香料、1,2丙二醇、三乙酸甘油酯、乙醇)、橘子香料(香料、dl-α-生育醇)]、β-胡蘿蔔素(麥芽糊精、中鏈三酸甘油酯、蔗糖、二氧化矽、生育醇、L-抗壞血酸鈉、阿拉伯膠、β-胡蘿蔔素)】;;橘子香料(酒精、水、丙二醇、香料、D-山梨醇液70%、脂肪酸蔗糖酯);;食用黃色四號鋁麗基;;二氧化矽"
"1015030406","三多月見草油Plus軟膠囊","SENTOSA Evening Primrose Oil Plus Softgel Capsules","1160821","1010821","三多士股份有限公司","02-27080888","台北市大安區四維路208巷3之1號1樓","月見草油;;琉璃苣油;;維生素E;;明膠;;甘油;;純水"
"1015048970","西西益錠","C.C.-E Tablets","1161226","1011226","瑞士藥廠股份有限公司","06-5893966","台南市新市區永就里中山路182號","抗壞血酸;;抗壞血酸鈉;;糖;;甘露醇;;糖精鈉鹽;;聚乙烯吡咯烷酮;;食用黃色五號;;維生素E 50%(乙酸dl-α-生育醇酯、麥芽糊精、辛烯基丁二酸鈉澱粉、二氧化矽);;二氧化矽;;食用黃色五號鋁麗基;;水蜜桃香料粉（香料、三乙酸甘油酯、天然香料、丙二醇、二氧化矽、乳糖）;;硬脂酸鎂;;滑石粉"
"1015055267","德氏培原健補力B活力持續錠","","1161227","1011227","拜爾汀生技營養有限公司","06-3309065","台南市歸仁區八甲里大明街3號","乳糖;;麥芽糊精;;維生素B1;;維生素B2;;維生素B6;;維生素B12 0.1% (麥芽糊精、檸檬酸鈉、檸檬酸、氰鈷胺明);;維生素E 50%(乙酸dl-α-生育醇酯、麥芽糊精、辛烯基丁二酸鈉澱粉、二氧化矽);;泛酸鈣;;菸鹼醯胺;;葉酸;;生物素;;葡萄糖酸鋅;;重酒石酸膽鹼;;維生素C;;檸檬酸亞鐵鈉;;金盞花萃取物(含葉黃素);;牛磺酸;;綠茶抽出物;;酵素水解小麥蛋白(含天然麩醯胺酸);;丹參萃取物;;碳酸鈣;;微結晶狀ALPHA-纖維素;;硬脂酸鎂;;二氧化矽;;葡萄糖漿粉"
"1015057277","波樂雅膠囊食品","BORAYOUNG CAPSULES","1161211","1011211","昂陽企業有限公司","02-87124949","台北市松山區民權東路三段160巷19弄7號","當歸萃取粉末;;大豆卵磷脂;;鹽酸口比哆辛;;硬脂酸鎂;;L-抗壞血酸;;硝酸硫胺明;;菸鹼醯胺;;琉璃苣油;;月見草油;;紅花籽油;;明膠;;甘油;;純水;;二氧化鈦;;食用紅色六號;;食用黃色四號;;食用藍色一號"
"1015059961","營養密碼-維生素B群+C加強錠","Super B complex+C","1170117","1020117","美德耐股份有限公司","02-27091088","台北市大安區延吉街239號3樓","核黃素（維生素B2）;;鹽酸吡哆辛（維生素B6）;;硝酸硫胺明（維生素B1）;;維生素C(維生素C、玉米澱粉);;牛磺酸;;菸鹼醯胺;;本多酸鈣;;維生素B12;;葉酸;;生物素;;羥丙基纖維素;;微結晶狀α-纖維素;;麥芽糖粉末;;羧甲基澱粉鈉;;硬脂酸鎂;;羥丙基甲基纖維素;;阿拉伯膠;;明膠;;蔗糖;;食用黃色4號;;食用黃色5號;;磷酸氫鈣;;二氧化鈦;;二氧化矽;;滑石粉"
"1015061665","活立旺綜合維他命錠狀食品","Vitamin Complex Plus","1170305","1020305","臣紀企業有限公司","07-7930098","高雄市小港區桂華街482號9樓","維生素A(11.5%)(麥芽糊精、阿拉伯膠、玉米澱粉、維生素A醋酸酯、維生素E);;維生素D3 0.25%(辛烯基丁二酸鈉澱粉、蔗糖、抗壞血酸鈉、中鏈三酸甘油酯、二氧化矽、DL-α-生育醇、維生素D3);;維生素E 50%(乙酸dl-α-生育醇酯、麥芽糊精、辛烯基丁二酸鈉澱粉、二氧化矽);;維生素B1;;維生素B2;;維生素B6;;維生素B12;;維生素C;;葉酸;;生物素;;碳酸鈣;;菸鹼醯胺;;硫酸亞鐵;;葡萄糖酸鋅;;葡萄糖酸銅;;氧化鎂;;硫酸錳;;肌醇;;檸檬酸鉀;;蜆精;;硒酵母;;鉻酵母;;微結晶狀ALPHA-纖維素;;羥丙基甲基纖維素;;食用紅色四十號鋁麗基;;食用黃色四號鋁麗基"
"1020020687","維力康健 人參綜合維他命軟膠囊","","1170826","1020826","賜利優醫藥生技有限公司","04-7361598","彰化縣彰化市茄苳里茄苳路二段251巷臨115-1號1樓","人參萃取粉末;;維生素A棕櫚酸鹽 55.5%(維生素A棕櫚酸鹽、花生油、維生素E);;生物素;;硝酸硫胺明;;核黃素;;鹽酸口比哆辛;;氰鈷胺明;;L-抗壞血酸;;維生素D3 0.25% (辛烯基丁二酸鈉澱粉、蔗糖、維生素C、中鏈三酸甘油酯、二氧化矽、維生素E、維生素D3);;維生素E醋酸鹽;;菸鹼醯胺;;葉酸;;硫酸亞鐵;;磷酸氫鈣;;葡萄糖酸銅;;氧化鎂;;硫酸鋅;;硒酵母;;肌醇;;牛磺酸;;卵磷脂;;大豆油;;明膠;;甘油;;純水;;二氧化鈦;;食用藍色一號;;食用黃色四號;;食用紅色六號"
"1020022065","完美C錠 500毫克（抗壞血酸）","Perfect-C Tablets 500mg(Ascorbic Acid)","1170717","1020717","仲發實業有限公司","02-82217889","新北市中和區中正路782號6樓","抗壞血酸;;抗壞血酸鈉;;蔗糖;;蔗糖素;;糖精鈉鹽;;食用黃色四號;;D-山梨醇液 70%;;桔子香料粉 (香料、丙二醇、二丁基羥基甲苯、葡萄糖、糊精、阿拉伯膠）;;硬脂酸鎂"
"1025017189","活沛多維他命C口嚼錠","NutriPlus C-400 Chewable Tablets","1170520","","健喬信元醫藥生技股份有限公司","03-5983500","新竹縣湖口鄉工業一路6號","L-抗壞血酸(維生素C);;L-抗壞血酸鈉(維生素C);;D-甘露醇;;蔗糖;;蔗糖素;;醋磺內酯鉀;;聚乙烯吡咯烷酮;;食用黃色四號;;檸檬香料;;天然香料;;松油醇;;檸檬醛;;乙酸橙花酯;;糊精;;阿拉伯膠;;硬脂酸鎂"
"1025024574","樂百新片","Robosin Tablets","1170614","1020614","人生製藥股份有限公司","04-23592345","台中市西屯區協和里工業區五路3號","維生素C;;L-抗壞血酸鈉;;蔗糖;;蔗糖素;;食用黃色四號鋁麗基;;橘子香料粉;;聚乙烯吡咯烷酮;;硬脂酸鎂;;鳳梨香料粉;;橘子果汁粉;;鳳梨果汁粉;;蔗糖素"
"1025032337","智律平膠囊食品","","1170909","1020909","領御國際股份有限公司","02-25025815","台北市中山區南京東路三段19號8樓之1","麩胺酸發酵物(含GABA);;L-色胺酸;;紅藻萃取物;;維生素B6;;維生素B12 0.1% (麥芽糊精、檸檬酸鈉、檸檬酸、維生素B12);;麥芽糊精;;硬脂酸鎂;;明膠;;純水;;二氧化鈦"
"1025035541","維生素B2錠 5毫克","Vitamin B2 Tablets 5mg","1170823","1020823","應傑實業股份有限公司","06-2925777","台南市南區彰南里新樂路1之6號","維生素B2;;乳糖;;微結晶纖維素;;羧甲基澱粉鈉（甘醇酸澱粉鈉）;;預糊化澱粉;;硬脂酸鎂"
"1026003085","日本味王女用維生素B群加強錠","","1170905","1020905","東阪國際股份有限公司","02-32348041","新北市中和區立德街148巷38號7樓","麥芽糊精;;乳糖;;牛磺酸;;葡萄糖酸鋅;;核黃素（維生素B2）;;鹽酸吡哆辛（維生素B6）;;阿拉伯膠;;硝酸硫胺明（維生素B1）;;十字珍珠草萃取物（珍珠草萃取物、麥芽糊精）;;五味子萃取物（五味子萃取物、麥芽糊精）;;菸鹼醯胺;;本多酸鈣;;維生素B12 0.1% (麥芽糊精、檸檬酸鈉、檸檬酸、維生素B12);;葉酸;;生物素;;葡萄糖酸亞鐵;;硬脂酸鎂;;玫瑰花瓣萃取粉（玫瑰花瓣萃取物、糊精）;;紅石榴粉"
"1026013024","穀維素膠囊食品","","1171107","1021107","領御國際股份有限公司","02-25025815","台北市中山區南京東路三段19號8樓之1","穀維素;;啤酒酵母;;維生素B1;;維生素B2;;維生素B6;;維生素B12(糊精、檸檬酸鈉、檸檬酸、維生素B12(氰鈷胺素));;維生素C;;菸鹼醯胺;;本多酸鈣;;麥芽糊精;;硬脂酸鎂;;明膠;;純水;;食用紅色六號;;食用黃色五號;;食用藍色一號;;食用黃色四號;;二氧化鈦"
"1026017231","福之村草本複方B群微粒膠囊","Herb Complex Vitamin B Microsphere Capsule","1171205","1021205","永勝藥品工業股份有限公司","05-2218686","嘉義縣民雄鄉興南村頭橋工業區工業三路6之3號","蔗糖;;葡萄糖酸鋅;;牛磺酸;;五味子萃取物;;鹽酸口比哆辛;;氰鈷胺明;;核黃素;;硝酸硫胺明;;牛樟芝菌絲體萃取物;;本多酸鈣;;生物素;;葉酸;;菸鹼醯胺;;玉米澱粉;;羥丙基纖維素;;蟲膠;;羥丙基甲基纖維素;;滑石粉;;食用紅色40號鋁麗基;;食用黃色4號;;食用紅色6號;;食用紅色7號;;食用藍色1號;;明膠;;純水;;二氧化鈦"
"1026017971","福之村維他命C微粒膠囊","Long Lasting Vitamin C Microsphere Capsules","1171205","1021205","永勝藥品工業股份有限公司","05-2218686","嘉義縣民雄鄉興南村頭橋工業區工業三路6之3號","抗壞血酸;;羥丙基纖維素;;蟲膠;;羥丙基甲基纖維素;;滑石粉;;二氧化鈦;;明膠;;純水;;食用黃色四號;;食用黃色五號"
"1026021637","MQ-7鈣速沛加強錠","MQ-7 Plus Tablet","1171206","1021206","綠心藥品生化科技有限公司","04-24220016","台中市北屯區山西路三段300號2樓","檸檬酸鈣;;納豆菌萃取物;;維生素D3(辛烯基丁二酸鈉澱粉、蔗糖、維生素C、中鏈三酸甘油酯、二氧化矽、維生素E、維生素D3);;微結晶狀ALPHA-纖維素;;羥丙基甲基纖維素;;二氧化鈦;;食用藍色一號;;食用黃色四號"
"1026022660","溫士頓C 1000 緩釋錠","Winston C 1000 SR Tablet","1171216","1021216","溫士頓醫藥股份有限公司","06-2533124","台南市永康區鹽洲里仁愛街117號","維生素C;;核黃素（維生素B2）;;微結晶狀ALPHA-纖維素;;乙基纖維素;;硬脂酸鎂"
"1030056764","萬得福益膠囊","Ondefur-E Capsules ＂C.S.P.＂","1140603","1040603","嘉信藥品股份有限公司","05-2358496","嘉義市西區劉厝里劉富街60號","二硫化硫胺;;鹽酸吡哆辛;;羥鈷胺;;乙酸DL-ALPHA-生育醇酯;;矽酸;;硬脂酸鎂;;馬鈴薯澱粉;;明膠;;純水;;食用紅色六號;;食用藍色一號;;二氧化鈦"
"1036003584","維生素B6錠 50毫克","Vitamin B6 Tablets 50mg","1180306","1030306","應傑實業股份有限公司","06-2925777","台南市南區彰南里新樂路1之6號","維生素B6;;乳糖;;馬鈴薯澱粉;;微結晶狀α-纖維素;;羧甲基澱粉鈉;;糊化澱粉;;二氧化矽;;硬脂酸鎂"
"1036013090","晶瑩葉黃緩釋錠","Ginpol SR Tablet","1180516","1030516","溫士頓醫藥股份有限公司","06-2533124","台南市永康區鹽洲里仁愛街117號","萬壽菊萃取物(含葉黃素酯);;萬壽菊萃取物;;微結晶狀α-纖維素;;澱粉;;維生素E;;二氧化矽;;磷酸鈣;;核黃素(維生素B2);;羥丙基甲基纖維素;;乳糖;;硬脂酸鎂"
"1036024956","維他命B2錠","Vitamin B2 Tablet","1180724","1030724","松裕實業股份有限公司","07-6140178","高雄市燕巢區新生路81號","維生素B2;;聚乙烯吡咯烷酮;;微結晶狀α-纖維素;;硬脂酸鎂;;乳糖"
